Date,Open,High,Low,Close,Volume
26-Mar-09,24.16,25.78,24.16,25.72,1777937
25-Mar-09,24.9,25.08,23.16,24.16,1810936
24-Mar-09,24.98,25,24.14,24.64,1044582
23-Mar-09,23.91,25.42,23.46,25.2,1689599
20-Mar-09,24.74,24.79,22.99,23.04,2057828
19-Mar-09,25.79,25.91,24.46,24.82,2074156
18-Mar-09,23.6,25.7,23.26,25.25,4053859
17-Mar-09,22.51,23.68,22.51,23.57,1850952
16-Mar-09,23.06,23.22,22.38,22.51,2159368
13-Mar-09,22.6,23.01,22.1,22.67,2017431
12-Mar-09,22.77,23.2,22.16,22.67,1757830
11-Mar-09,22.48,22.98,21.79,22.65,1970081
10-Mar-09,20.78,22.35,20.02,22.28,2465174
9-Mar-09,19.66,20.31,19.15,19.95,1737786
6-Mar-09,20.11,20.49,19.51,19.89,1542227
5-Mar-09,20.98,21,19.95,20,1631661
4-Mar-09,20.94,21.79,20.86,21.09,1224409
3-Mar-09,20.92,21.68,20.75,21.01,1408596
2-Mar-09,20.55,21.47,20.27,20.73,1758904
27-Feb-09,21.5,21.99,20.62,20.76,1902673
26-Feb-09,22.81,22.84,21.26,21.5,1758961
25-Feb-09,22.93,22.93,21.83,22.43,943760
24-Feb-09,21.56,23.15,21.4,22.93,1325030
23-Feb-09,22.94,22.94,21.4,21.45,858419
20-Feb-09,21.8,22.63,21.8,22.51,1221975
19-Feb-09,23,23,21.94,22.31,1237122
18-Feb-09,23.77,23.77,22.41,22.6,1936804
17-Feb-09,24.1,24.54,23.56,23.88,1313863
13-Feb-09,26.25,26.25,24.35,25.09,1405044
12-Feb-09,25.5,26.59,24.39,26.04,2126206
11-Feb-09,24.42,26.43,23.75,26.04,2734393
10-Feb-09,25.62,26.59,24.22,24.39,1637674
9-Feb-09,25.3,26.56,25,26.12,1354860
6-Feb-09,24.62,25.53,24.01,25.31,1848202
5-Feb-09,21.79,24.6,21.79,24.37,2180305
4-Feb-09,22.51,23.1,22.02,22.23,925138
3-Feb-09,22.04,22.62,21.43,22.51,1172280
2-Feb-09,20.64,21.99,20.54,21.75,1595393
30-Jan-09,21.68,21.8,20.52,20.7,1333819
29-Jan-09,22.1,22.79,21.52,21.6,838921
28-Jan-09,21.82,23.02,21.06,22.53,1709251
27-Jan-09,22.21,22.5,20.39,21.47,4404919
26-Jan-09,22.01,23.49,21.4,22.1,3770954
23-Jan-09,20.37,21.84,20.26,21.62,1800038
22-Jan-09,21.38,21.75,20.55,21.2,1594480
21-Jan-09,20.98,21.99,20.02,21.88,2346923
20-Jan-09,22.06,22.32,20.2,20.28,1604347
16-Jan-09,22.84,22.96,21.58,22,1409326
15-Jan-09,21.95,22.84,21.6,22.34,1474474
14-Jan-09,22.55,22.65,21.36,21.76,1599813
13-Jan-09,23.82,24.2,22.4,22.61,1624001
12-Jan-09,25.18,25.18,23.1,23.75,1464930
9-Jan-09,26.62,26.63,24.86,25.03,1076180
8-Jan-09,25.31,27.21,25.19,26.33,2662093
7-Jan-09,23.94,25.35,23.79,24.83,1279832
6-Jan-09,23.95,25.15,23.64,24.58,1556059
5-Jan-09,23.55,24,23.16,23.74,908040
2-Jan-09,23.44,24,22.41,23.74,920471
1-Jan-09,23.69,23.69,23.69,23.69,0
31-Dec-08,23.31,24.1,23,23.69,1067004
